resume_text,category
"python flask api sql backend django","Python Developer"
"machine learning pandas numpy tensorflow","ML Engineer"
"html css javascript react bootstrap","Frontend Developer"
"excel power bi tableau sql analytics","Data Analyst"
"aws docker kubernetes ci/cd linux","DevOps Engineer"
"python data analysis pandas visualization","Data Analyst"
"react js frontend ui ux html","Frontend Developer"
"deep learning nlp tensorflow pytorch","ML Engineer"
"docker jenkins aws deployment","DevOps Engineer"
"flask backend rest api sqlite","Python Developer"
"figma adobe xd wireframing prototyping ui ux","UI/UX Designer"
"ui design ux research adobe xd figma","UI/UX Designer"
"user research wireframes mockups prototyping","UI/UX Designer"

"python django mysql rest api","Python Developer"
"flask sql backend authentication","Python Developer"
"python automation scripting pandas","Python Developer"
"django rest framework backend development","Python Developer"
"python api development sqlite","Python Developer"
"flask jwt authentication sql","Python Developer"
"python oop file handling backend","Python Developer"
"django backend mysql deployment","Python Developer"
"python web scraping selenium","Python Developer"
"flask restful api development","Python Developer"
"python debugging git github","Python Developer"
"backend development python flask","Python Developer"
"python sqlalchemy sqlite api","Python Developer"
"django authentication authorization","Python Developer"
"python programming backend engineer","Python Developer"

"react html css javascript responsive","Frontend Developer"
"frontend development bootstrap react","Frontend Developer"
"html css js ui design","Frontend Developer"
"react redux frontend web app","Frontend Developer"
"javascript dom manipulation bootstrap","Frontend Developer"
"responsive frontend react js","Frontend Developer"
"html css animation javascript","Frontend Developer"
"react component state management","Frontend Developer"
"frontend ui ux react bootstrap","Frontend Developer"
"web design html css js","Frontend Developer"
"frontend developer react routing","Frontend Developer"
"javascript frontend api integration","Frontend Developer"
"react hooks bootstrap frontend","Frontend Developer"
"responsive web interfaces frontend","Frontend Developer"
"html css javascript web development","Frontend Developer"

"excel dashboard tableau analytics","Data Analyst"
"power bi data visualization sql","Data Analyst"
"data cleaning pandas numpy excel","Data Analyst"
"business analytics tableau reporting","Data Analyst"
"sql excel reporting analytics","Data Analyst"
"data visualization power bi dashboard","Data Analyst"
"analytics reporting mysql excel","Data Analyst"
"python pandas business intelligence","Data Analyst"
"data analyst sql tableau","Data Analyst"
"excel pivot tables charts analytics","Data Analyst"
"power bi dashboard business data","Data Analyst"
"data preprocessing pandas analytics","Data Analyst"
"sql queries data reporting","Data Analyst"
"analytics visualization excel power bi","Data Analyst"
"data insights tableau sql","Data Analyst"

"tensorflow keras deep learning","ML Engineer"
"machine learning algorithms python","ML Engineer"
"nlp deep learning pytorch","ML Engineer"
"scikit learn regression classification","ML Engineer"
"cnn rnn neural networks","ML Engineer"
"artificial intelligence machine learning","ML Engineer"
"ml model training evaluation","ML Engineer"
"computer vision opencv tensorflow","ML Engineer"
"natural language processing nltk","ML Engineer"
"deep learning image processing","ML Engineer"
"predictive analytics machine learning","ML Engineer"
"supervised unsupervised learning","ML Engineer"
"feature engineering ml pipeline","ML Engineer"
"tensorflow neural network models","ML Engineer"
"python ml data preprocessing","ML Engineer"

"docker kubernetes cloud deployment","DevOps Engineer"
"aws ec2 ci cd pipelines","DevOps Engineer"
"jenkins docker linux automation","DevOps Engineer"
"cloud computing kubernetes docker","DevOps Engineer"
"devops automation deployment monitoring","DevOps Engineer"
"aws cloud devops engineer","DevOps Engineer"
"linux shell scripting docker","DevOps Engineer"
"continuous integration deployment docker","DevOps Engineer"
"jenkins pipeline kubernetes aws","DevOps Engineer"
"cloud infrastructure automation linux","DevOps Engineer"
"docker container orchestration kubernetes","DevOps Engineer"
"devops ci cd automation","DevOps Engineer"
"aws deployment monitoring scaling","DevOps Engineer"
"linux docker jenkins cloud","DevOps Engineer"
"kubernetes microservices deployment","DevOps Engineer"

"figma ui design prototyping","UI/UX Designer"
"adobe xd wireframing user research","UI/UX Designer"
"ui ux mockups prototypes","UI/UX Designer"
"user interface design figma","UI/UX Designer"
"user experience wireframes adobe xd","UI/UX Designer"
"responsive ui ux prototyping","UI/UX Designer"
"mobile app ui design","UI/UX Designer"
"figma prototypes design systems","UI/UX Designer"
"ux research usability testing","UI/UX Designer"
"wireframes mockups user journey","UI/UX Designer"
"creative ui ux designer","UI/UX Designer"
"user centered design figma","UI/UX Designer"
"interactive interfaces prototyping","UI/UX Designer"
"adobe xd mobile ui","UI/UX Designer"
"ui ux responsive interfaces","UI/UX Designer"

"java spring boot mysql","Java Developer"
"core java oops collections","Java Developer"
"java backend spring framework","Java Developer"
"hibernate jdbc servlet jsp","Java Developer"
"java multithreading exception handling","Java Developer"
"spring boot rest api java","Java Developer"
"java developer backend mysql","Java Developer"
"java web application development","Java Developer"
"object oriented programming java","Java Developer"
"java swing desktop application","Java Developer"
"java maven spring boot","Java Developer"
"java api development backend","Java Developer"
"advanced java jdbc mysql","Java Developer"
"spring security java backend","Java Developer"
"java software development engineer","Java Developer"

"node js express mongodb api","Backend Developer"
"backend api development mongodb","Backend Developer"
"express js rest api backend","Backend Developer"
"server side development node js","Backend Developer"
"backend engineer databases apis","Backend Developer"
"node express authentication jwt","Backend Developer"
"backend development sql mongodb","Backend Developer"
"rest api backend architecture","Backend Developer"
"server backend deployment database","Backend Developer"
"backend logic express js","Backend Developer"
"api integration backend systems","Backend Developer"
"node js mysql backend","Backend Developer"
"backend services authentication","Backend Developer"
"mongodb express backend development","Backend Developer"
"backend web services engineer","Backend Developer"
